t.day,sp,numbr,P.MPa,nomID,stemID,l.mm,d.mm,k.g.s.MPa,r2,K.g.mm.s.MPa,Ks.g.s.MPa.mm,ver,plc,bad,notes
291.5020425,quke,176_77_1,0,quke 176_77_1 0 MPa,quke 176_77_1,36.55,2.81,-0.057669881,0.968137623,-2.107834141,-0.339886499,v18,0,NA,
291.5236027,quke,176_77_2,0,quke 176_77_2 0 MPa,quke 176_77_2,45.63,3.4,-0.108464419,0.993144069,-4.949231454,-0.545117405,v18,0,NA,
291.6879206,quke,197_184_1,0,quke 197_184_2_actual1 0 MPa,quke 197_184_2_actual1,39.58,2.05,-0.036977297,0.639236584,-1.463561424,-0.443418032,v18,0,NA,
291.7105781,quke,177_194_1,0,quke 177_194_1 0 MPa,quke 177_194_1,25.06,1.32,-0.032562045,0.971945249,-0.816004848,-0.596286525,v18,0,NA,
293.5951633,quke,190_238_1,0,quke 190_238_1 0 MPa,quke 190_238_1,47.75,1.47,-0.071812084,0.99324385,-3.429026999,-2.020441841,v18,0,NA,
293.6325843,quke,190_238_2,0,quke 190_238_2 0 MPa,quke 190_238_2,37.84,2.43,-0.131312266,0.960148991,-4.968856146,-1.071405805,v18,0,NA,NA
293.6613561,quke,191_246_1,0,quke 191_246_1 0 MPa,quke 191_246_1,36.64,1.18,-0.037295573,0.997560115,-1.366509795,-1.249565002,v18,0,NA,NA
293.6922159,quke,180_9_1,0,quke 180_9_1 0 MPa,quke 180_9_1,49.18,1.64,-0.013891442,0.992823514,-0.683181118,-0.323413599,v18,0,NA,NA
293.7231782,quke,152_209_1,0,quke 152_209_1 0 MPa,quke 152_209_1,28.41,1.7,-0.057186456,0.999986316,-1.624667215,-0.715775275,v18,0,NA,NA
293.7372512,quke,158_127_1,0,quke 158_127_1 0 MPa,quke 158_127_1,42.55,1.65,-0.104408251,0.99993989,-4.442571061,-2.077670213,v18,0,NA,NA
293.7951591,quke,199_216_1,0,quke 199_216_1 0 MPa,quke 199_216_1,80.2,1.56,-0.084653359,0.994386804,-6.789199374,-3.552053386,v18,0,NA,NA
293.8101447,quke,200_209_1,0,quke 200_209_1 0 MPa,quke 200_209_1,47.21,2.73,-0.106551147,0.999764512,-5.030279641,-0.859363598,v18,0,NA,NA
293.8237084,quke,172_126_1,0,quke 172_126_1 0 MPa,quke 172_126_1,40.29,1.81,-0.042623227,0.994092663,-1.717289835,-0.66741593,v18,0,NA,NA
293.8557439,quke,153_177_1,0,quke 153_177_1 0 MPa,quke 153_177_1,28.77,1.87,-0.071340374,0.925267391,-2.052462549,-0.747312328,v18,0,NA,NA
293.8714476,quke,156_168_1,0,quke 156_168_1 0 MPa,quke 156_168_1,83.57,2.24,-0.113888039,0.999946403,-9.517623418,-2.415141603,v18,0,NA,NA
293.8858952,quke,179_72_1,0,quke 179_72_1 0 MPa,quke 179_72_1,37.95,1.32,-0.041672799,0.999999952,-1.581482722,-1.155651022,v18,0,NA,NA
293.9008807,quke,157_146_1,0,quke 157_146_1 0 MPa,quke 157_146_1,47.68,1.5,-0.031377363,0.998922622,-1.496072682,-0.846603956,v18,0,NA,NA
295.4126918,quke,181_111_1,0,quke 181_111_1 0 MPa,quke 181_111_1,47.91,2.74,-0.195232455,0.971474787,-9.353586929,-1.586306777,v18,0,NA,NA
295.4253729,quke,173_26_1,0,quke 173_26_1 0 MPa,quke 173_26_1,49.6,3.69,-0.05303434,0.9582714,-2.630503267,-0.245977981,v18,0,NA,NA
295.4374487,quke,196_171_1,0,quke 196_171_1 0 MPa,quke 196_171_1,36.94,3.06,-0.150837098,0.99296216,-5.571922384,-0.757656448,v18,0,NA,NA
295.4491244,quke,154_106_1,0,quke 154_106_1 0 MPa,quke 154_106_1,35.04,2.66,-0.100864526,0.999983289,-3.534293003,-0.635988696,v18,0,NA,NA
295.4671825,quke,170_977_1,0,quke 170_977_1 0 MPa,quke 170_977_1,32.52,1.87,-0.001183821,0.675678994,-0.038497861,-0.014017272,v18,0,NA,NA
