"sp","numbr","Ptreat.MPa","d.mm","l.mm","stemID","nomID","t.s","t.day","dt.s","bal.g","Q.g.s","rmQ.g.s","p.cm","p.MPa","Tsoln.C","ver","keep","usefork","measure"
"quke","176_77_1",0,2.81,36.55,"quke 176_77_1","quke 176_77_1 0 MPa",0,291.491088008254,NA,97.5294,NA,NA,60,0.00586256516131366,25,"v18",FALSE,FALSE,1
"quke","176_77_1",0,2.81,36.55,"quke 176_77_1","quke 176_77_1 0 MPa",9.11177587509155,291.491193468623,9.11177587509155,97.5268,-0.000285345034343231,NA,60,0.00586256516131366,25,"v18",FALSE,FALSE,1
"quke","176_77_1",0,2.81,36.55,"quke 176_77_1","quke 176_77_1 0 MPa",18.2222368717194,291.491298913774,9.11046099662781,97.5239,-0.000318315396012079,NA,60,0.00586256516131366,25,"v18",FALSE,FALSE,1
"quke","176_77_1",0,2.81,36.55,"quke 176_77_1","quke 176_77_1 0 MPa",27.3330860137939,291.491404363416,9.11084914207458,97.5208,-0.000340253685651515,NA,60,0.00586256516131366,25,"v18",FALSE,FALSE,1
"quke","176_77_1",0,2.81,36.55,"quke 176_77_1","quke 176_77_1 0 MPa",36.4452159404755,291.491509827883,9.11212992668152,97.5179,-0.000318257095029187,NA,60,0.00586256516131366,25,"v18",FALSE,FALSE,1
"quke","176_77_1",0,2.81,36.55,"quke 176_77_1","quke 176_77_1 0 MPa",45.5583989620209,291.491615304538,9.11318302154541,97.5152,-0.000296274089263185,NA,60,0.00586256516131366,25,"v18",FALSE,FALSE,1
"quke","176_77_1",0,2.81,36.55,"quke 176_77_1","quke 176_77_1 0 MPa",54.6687560081482,291.491720748486,9.11035704612732,97.5124,-0.000307342509829859,NA,60,0.00586256516131366,25,"v18",FALSE,FALSE,1
"quke","176_77_1",0,2.81,36.55,"quke 176_77_1","quke 176_77_1 0 MPa",63.780877828598,291.491826212859,9.11212182044983,97.5095,-0.000318257378153776,-0.000312006455468976,60,0.00586256516131366,25,"v18",FALSE,FALSE,1
"quke","176_77_1",0,2.81,36.55,"quke 176_77_1","quke 176_77_1 0 MPa",72.8927938938141,291.49193167485,9.11191606521606,97.5069,-0.000285340644205069,-0.000312005828306382,60,0.00586256516131366,25,"v18",FALSE,FALSE,1
"quke","176_77_1",0,2.81,36.55,"quke 176_77_1","quke 176_77_1 0 MPa",82.0005178451538,291.492037088322,9.10772395133972,97.5044,-0.000274492289550811,-0.0003057453845262,60,0.00586256516131366,25,"v18",FALSE,FALSE,1
"quke","176_77_1",0,2.81,36.55,"quke 176_77_1","quke 176_77_1 0 MPa",91.112016916275,291.492142545487,9.11149907112122,97.5017,-0.000296328845444243,-0.000299470407353733,60,0.00586256516131366,25,"v18",FALSE,FALSE,1
"quke","176_77_1",0,2.81,36.55,"quke 176_77_1","quke 176_77_1 0 MPa",100.229775905609,291.492248075105,9.11775898933411,97.4989,-0.000307093004241917,-0.000297875537241266,60,0.00586256516131366,25,"v18",FALSE,FALSE,1
"quke","176_77_1",0,2.81,36.55,"quke 176_77_1","quke 176_77_1 0 MPa",109.343389987946,291.492353556749,9.11361408233643,97.496,-0.000318205266737087,-0.00030100856259468,60,0.00586256516131366,25,"v18",FALSE,FALSE,1
"quke","176_77_1",0,2.81,36.55,"quke 176_77_1","quke 176_77_1 0 MPa",118.457008838654,291.492459038449,9.11361885070801,97.493,-0.000329177689910407,-0.000304127874034759,60,0.00586256516131366,25,"v18",FALSE,FALSE,1
"quke","176_77_1",0,2.81,36.55,"quke 176_77_1","quke 176_77_1 0 MPa",127.567688941956,291.492564486136,9.110680103302,97.49,-0.000329283869698455,-0.00030570308711257,60,0.00586256516131366,25,"v18",FALSE,FALSE,1
