1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 7500000021AE3F21
Is Mission Active?  true
Mission Start:  Wed May 04 18:10:00 PDT 2022
Sample Rate:  Every 5 minute(s)
Number of Mission Samples:  1762
Total Samples:  32357
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  High Temp, Low Temp
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
5/4/22, 6:10:00 PM,C,9
5/4/22, 6:15:00 PM,C,9.5
5/4/22, 6:20:00 PM,C,14
5/4/22, 6:25:00 PM,C,11
5/4/22, 6:30:00 PM,C,9.5
5/4/22, 6:35:00 PM,C,8.5
5/4/22, 6:40:00 PM,C,7.5
5/4/22, 6:45:00 PM,C,7.5
5/4/22, 6:50:00 PM,C,6.5
5/4/22, 6:55:00 PM,C,6
5/4/22, 7:00:00 PM,C,5
5/4/22, 7:05:00 PM,C,4.5
5/4/22, 7:10:00 PM,C,4.5
5/4/22, 7:15:00 PM,C,4.5
5/4/22, 7:20:00 PM,C,4.5
5/4/22, 7:25:00 PM,C,4.5
5/4/22, 7:30:00 PM,C,4.5
5/4/22, 7:35:00 PM,C,4.5
5/4/22, 7:40:00 PM,C,4.5
5/4/22, 7:45:00 PM,C,4.5
5/4/22, 7:50:00 PM,C,4.5
5/4/22, 7:55:00 PM,C,4.5
5/4/22, 8:00:00 PM,C,4.5
5/4/22, 8:05:00 PM,C,4.5
5/4/22, 8:10:00 PM,C,4.5
5/4/22, 8:15:00 PM,C,4
5/4/22, 8:20:00 PM,C,4
5/4/22, 8:25:00 PM,C,3.5
5/4/22, 8:30:00 PM,C,3
5/4/22, 8:35:00 PM,C,2.5
5/4/22, 8:40:00 PM,C,2
5/4/22, 8:45:00 PM,C,2
5/4/22, 8:50:00 PM,C,2
5/4/22, 8:55:00 PM,C,2
5/4/22, 9:00:00 PM,C,1.5
5/4/22, 9:05:00 PM,C,1.5
