Slice	Count	Total Area	Average Size	%Area	Perim.	Major	Minor	Angle	Circ.	Solidity	Feret	FeretX	FeretY	FeretAngle	MinFeret
26_11.jpg	43	174.426	4.056	29.355	5.685	0.867	0.682	45.356	0.797	0.879	1.204	1620.791	1610.953	116.691	0.850
26_21.jpg	29	146.690	5.058	24.687	9.005	1.326	0.810	39.245	0.784	0.884	1.838	1806.828	1761.448	111.473	1.102
26_22.jpg	30	137.445	4.582	23.131	6.242	1.163	0.694	43.662	0.838	0.885	1.609	1605.067	1171.300	112.888	0.860
26_31.jpg	50	194.504	3.890	32.734	4.447	0.840	0.596	44.170	0.841	0.896	1.114	1338.380	1834.120	114.139	0.704
26_32.jpg	43	154.846	3.601	26.060	4.577	0.806	0.433	50.458	0.827	0.903	1.039	1346.907	1558.186	120.499	0.582
26_41.jpg	30	179.101	5.970	30.142	10.039	0.684	0.540	49.375	0.841	0.869	1.075	1607.000	1558.833	117.230	0.733
26_42.jpg	47	161.437	3.435	27.169	4.752	0.884	0.515	54.903	0.749	0.845	1.133	1791.957	1407.851	108.355	0.661
26_121.jpg	48	169.935	3.540	28.599	4.423	0.534	0.372	45.614	0.841	0.879	0.722	1708.562	1295.646	111.205	0.524
26_122.jpg	55	108.869	1.979	18.322	2.673	0.404	0.252	47.373	0.869	0.899	0.505	1743.873	1800.745	116.113	0.309
47_11.jpg	56	97.425	1.740	16.396	2.194	0.371	0.295	47.406	0.831	0.888	0.486	1690.893	1539.804	124.942	0.363
47_12.jpg	78	143.749	1.843	24.192	1.767	0.317	0.156	42.224	0.840	0.887	0.363	1517.808	1925.244	123.218	0.208
47_21.jpg	61	64.296	1.054	10.821	2.579	0.504	0.279	67.937	0.768	0.823	0.731	1419.115	1436.393	105.033	0.381
47_22.jpg	48	135.550	2.824	22.812	5.967	0.946	0.524	52.870	0.793	0.870	1.295	1538.583	1169.208	116.114	0.769
47_31.jpg	41	89.604	2.185	15.080	4.410	0.791	0.429	53.043	0.824	0.866	1.109	1753.220	1605.024	109.179	0.583
47_32.jpg	37	123.264	3.331	20.745	5.121	0.856	0.592	55.906	0.816	0.867	1.276	1560.108	1665.757	110.949	0.757
59_11.jpg	86	78.864	0.917	13.272	1.926	0.326	0.132	50.087	0.865	0.875	0.429	1398.593	1822.605	110.486	0.185
59_12.jpg	154	158.583	1.030	26.689	2.493	0.505	0.241	62.595	0.795	0.868	0.680	1329.968	1478.812	114.455	0.331
59_21.jpg	52	127.926	2.460	21.529	5.193	0.901	0.428	64.038	0.742	0.853	1.238	1383.346	1442.865	114.480	0.571
59_22.jpg	36	80.848	2.246	13.606	4.922	1.030	0.470	41.316	0.817	0.893	1.363	1430.056	1796.750	118.034	0.631
59_31.jpg	86	94.221	1.096	15.857	2.317	0.426	0.247	51.129	0.817	0.883	0.599	1529.860	1955.651	110.845	0.336
59_32.jpg	313	137.948	0.441	23.216	1.259	0.251	0.141	42.157	0.825	0.884	0.345	1408.166	1856.131	115.954	0.194
59_331.jpg	275	221.610	0.806	37.296	1.728	0.303	0.142	48.808	0.756	0.850	0.396	1317.749	1897.473	115.925	0.199
59_332.jpg	228	96.660	0.424	16.267	1.148	0.217	0.121	50.207	0.788	0.852	0.303	1303.035	1499.640	116.020	0.175
126_11.jpg	37	99.806	2.697	16.797	4.431	0.708	0.544	43.370	0.848	0.895	0.881	1565.189	1427.892	117.680	0.640
126_12.jpg	51	161.926	3.175	27.251	5.028	0.754	0.551	46.336	0.819	0.901	0.937	1378.314	1544.275	123.267	0.666
126_21.jpg	72	149.045	2.070	25.084	3.566	0.483	0.313	46.916	0.843	0.886	0.630	1382.264	1748.833	115.184	0.420
126_22.jpg	105	114.487	1.090	19.268	1.925	0.326	0.224	36.704	0.869	0.909	0.442	1535.810	1402.676	123.434	0.283
126_31.jpg	59	100.165	1.698	16.857	2.557	0.388	0.307	49.733	0.815	0.869	0.544	1473.746	1734.034	112.072	0.372
126_32.jpg	44	204.642	4.651	34.440	6.267	0.745	0.490	56.306	0.765	0.846	1.007	1425.659	1450.500	111.246	0.652
126_41.jpg	48	144.386	3.008	24.299	5.080	0.827	0.496	36.855	0.825	0.884	1.154	1644.688	1459.188	113.538	0.680
126_42.jpg	37	122.157	3.302	20.558	5.646	0.983	0.480	43.273	0.846	0.898	1.223	1621.000	1324.649	111.732	0.638
198_1.jpg	41	123.137	3.003	20.723	6.311	0.943	0.497	46.719	0.796	0.867	1.466	1564.927	1420.415	122.716	0.726
198_21.jpg	39	118.556	3.040	19.952	7.194	1.122	0.597	45.413	0.766	0.855	1.693	1437.179	1493.538	119.416	0.822
198_22.jpg	31	101.113	3.262	17.017	7.022	0.866	0.466	56.361	0.808	0.836	1.387	1405.129	1321.065	110.716	0.780
198_31.jpg	57	183.278	3.215	30.845	6.092	0.792	0.432	53.713	0.765	0.851	1.122	1505.509	1692.772	110.617	0.642
198_32.jpg	76	127.485	1.677	21.455	3.696	0.513	0.320	64.513	0.733	0.813	0.792	1142.803	1385.724	115.233	0.485
198_41.jpg	73	146.698	2.010	24.689	3.789	0.518	0.347	46.962	0.858	0.911	0.722	1333.959	1457.370	121.759	0.472
198_42.jpg	46	87.769	1.908	14.771	4.261	0.681	0.422	44.151	0.806	0.884	0.955	1622.239	1558.348	106.888	0.535
208_11.jpg	37	145.383	3.929	24.467	6.076	0.888	0.636	48.911	0.754	0.866	1.178	1298.676	1763.459	114.022	0.849
208_12.jpg	20	233.660	11.683	39.324	12.282	1.047	0.785	40.316	0.819	0.887	1.584	1621.950	1568.600	120.411	1.077
208_21.jpg	29	69.093	2.383	11.628	4.133	0.846	0.393	46.207	0.870	0.900	1.209	1700.034	1028.414	125.332	0.517
208_22.jpg	31	66.300	2.139	11.158	5.723	1.213	0.505	66.552	0.737	0.827	1.739	1510.323	1123.516	103.387	0.709
208_31.jpg	26	160.112	6.158	26.946	9.182	1.422	0.962	47.158	0.824	0.887	2.033	1825.231	1062.654	121.502	1.316
208_32.jpg	42	106.997	2.548	18.007	4.111	0.719	0.462	50.986	0.810	0.889	0.984	1419.381	1330.405	118.471	0.578
216_12.jpg	40	122.705	3.068	20.651	7.684	1.213	0.746	56.104	0.704	0.793	1.924	1746.550	1504.600	110.741	1.069
216_21.jpg	89	111.238	1.250	18.721	2.469	0.413	0.275	40.946	0.873	0.911	0.578	1378.124	1831.180	122.387	0.347
216_22.jpg	95	172.599	1.817	29.047	3.612	0.572	0.356	44.267	0.852	0.914	0.842	1405.253	1694.863	124.310	0.490
216_31.jpg	60	124.498	2.075	20.952	4.132	0.687	0.341	55.084	0.859	0.880	0.969	1474.467	1535.950	122.213	0.492
216_32.jpg	57	66.091	1.159	11.123	2.908	0.521	0.324	43.388	0.825	0.890	0.838	1402.877	1543.930	122.650	0.416
216_111.jpg	40	92.730	2.318	15.606	4.890	0.890	0.509	67.016	0.768	0.853	1.268	1519.175	1439.350	110.748	0.695
216_112.jpg	58	86.604	1.493	14.575	4.134	0.820	0.414	52.206	0.761	0.870	1.157	1429.276	1575.862	109.961	0.563
977_11.jpg	33	116.569	3.532	19.618	4.669	0.942	0.615	56.399	0.821	0.884	1.238	1617.182	1242.606	113.022	0.763
