t.day,sp,numbr,P.MPa,nomID,stemID,l.mm,d.mm,k.g.s.MPa,r2,K.g.mm.s.MPa,Ks.g.s.MPa.mm,ver,plc
140.3833299,quke_post,977.3.1,0,quke_post 977.31 0 MPa,quke_post 977.31,59.75,2.28,-0.014087373,0.99378292,-0.841720521,-0.206161868,v18,0
140.4026786,quke_post,59.3.1,0,quke_post 59.31 0 MPa,quke_post 59.31,84.69,2.01,-0.037114705,0.996698051,-3.143244384,-0.990595047,v18,0
140.4251181,quke_post,977.2.1,0,quke_post 977.21 0 MPa,quke_post 977.21,28.98,1.91,-0.01033025,0.938138569,-0.299370634,-0.104484671,v18,0
140.4509096,quke_post,216.2.1,0,quke_post 216.21 0 MPa,quke_post 216.21,78.34,1.62,-0.034740631,0.998644816,-2.721581037,-1.320387365,v18,0
140.4682548,quke_post,208.3.1,0,quke_post 208.31 0 MPa,quke_post 208.31,72.18,1.96,-0.077280568,0.99975876,-5.578111401,-1.848779681,v18,0
140.4896227,quke_post,977.4.1,0,quke_post 977.41 0 MPa,quke_post 977.41,53.6,2.16,-0.002521191,0.927948378,-0.135135825,-0.036878488,v18,0
140.5023217,quke_post,198.1.1,0,quke_post 198.11 0 MPa,quke_post 198.11,73.75,1.56,-0.026334336,0.999912677,-1.942157277,-1.016120746,v18,0
140.5180893,quke_post,977.5.1,0,quke_post 977.51 0 MPa,quke_post 977.51,52.01,1.94,-0.004695464,0.930423421,-0.244211102,-0.082617502,v18,0
140.5347885,quke_post,977.1.1,0,quke_post 977.11 0 MPa,quke_post 977.11,36.25,1.95,-0.051593492,0.992065426,-1.87026408,-0.626244362,v18,0
140.5492295,quke_post,216.1.1,0,quke_post 216.11 0 MPa,quke_post 216.11,109.92,2.17,-0.1689969,0.998943667,-18.57613923,-5.022802578,v18,0
140.5606575,quke_post,216.3.1,0,quke_post 216.31 0 MPa,quke_post 216.31,48.03,1.84,-0.039336412,0.995725659,-1.889327854,-0.710528987,v18,0
140.5778023,quke_post,208.2.1,0,quke_post 208.21 0 MPa,quke_post 208.21,47.85,1.83,-0.035979671,0.997246512,-1.721627249,-0.65455639,v18,0
140.5919363,quke_post,47.3.1,0,quke_post 47.31 0 MPa,quke_post 47.31,66.32,1.5,-0.048683581,0.999972261,-3.22869509,-1.827067674,v18,0
140.6096218,quke_post,47.1.1,0,quke_post 47.11 0 MPa,quke_post 47.11,74.02,1.89,-0.041647699,0.998780956,-3.082762656,-1.098820111,v18,0
140.6284182,quke_post,198.3.1,0,quke_post 198.31 0 MPa,quke_post 198.31,74.4,2,-0.062519767,0.997164418,-4.651470688,-1.480609105,v18,0
140.6433218,quke_post,126.3.1,0,quke_post 126.31 0 MPa,quke_post 126.31,48.13,2.31,-0.00484319,0.969704781,-0.233102716,-0.055620321,v18,0
140.6590555,quke_post,126.1.1,0,quke_post 126.11 0 MPa,quke_post 126.11,61.29,1.98,-0.025445004,0.983134139,-1.559524304,-0.506491178,v18,0
140.6748805,quke_post,208.1.1,0,quke_post 208.11 0 MPa,quke_post 208.11,86.13,1.76,-0.070765087,0.998689448,-6.094996977,-2.505291573,v18,0
140.6908738,quke_post,59.1.1,0,quke_post 59.11 0 MPa,quke_post 59.11,48.23,1.34,-0.023226509,0.989444816,-1.120214525,-0.794331383,v18,0
140.7077957,quke_post,47.2.1,0,quke_post 47.21 0 MPa,quke_post 47.21,60.94,2.05,-0.044431486,0.998936368,-2.707654748,-0.820343391,v18,0
140.7232288,quke_post,26.3.1,0,quke_post 26.31 0 MPa,quke_post 26.31,72.34,2.56,-0.048875979,0.999107677,-3.535688312,-0.686916836,v18,0
140.7380821,quke_post,59.2.1,0,quke_post 59.21 0 MPa,quke_post 59.21,59.68,2.11,-0.006473468,0.985997943,-0.38633657,-0.110486961,v18,0
140.7540134,quke_post,126.2.1,0,quke_post 126.21 0 MPa,quke_post 126.21,42.53,2.04,-0.004298111,0.980794758,-0.182798649,-0.05592716,v18,0
140.7712056,quke_post,26.2.1,0,quke_post 26.21 0 MPa,quke_post 26.21,69.79,1.8,-0.006670893,0.99853021,-0.465561634,-0.182954161,v18,0
140.7831826,quke_post,126.4.1,0,quke_post 126.41 0 MPa,quke_post 126.41,58.01,2.19,-0.010772216,0.990997989,-0.624896231,-0.165893662,v18,0
140.7956569,quke_post,198.4.1,0,quke_post 198.41 0 MPa,quke_post 198.41,52.36,1.78,-0.036474465,0.999806737,-1.909802964,-0.767465174,v18,0
140.8093006,quke_post,26.4.1,0,quke_post 26.41 0 MPa,quke_post 26.41,57.24,1.8,-0.008450779,0.987713647,-0.483722616,-0.190090976,v18,0
140.8304258,quke_post,26.1.1,0,quke_post 26.11 0 MPa,quke_post 26.11,40.18,1.83,-0.050800343,0.99724028,-2.041157779,-0.77604073,v18,0
