"TOA5","31406","CR1000X","31406","CR1000X.Std.05.01","CPU:sap_flow.CR1X","24332","Stem_Temp_Data"
"TIMESTAMP","RECORD","Pre_Temp_Down_Outer","Max_Temp_Down_Outer","Post_Temp_Down_Outer","Pre_Temp_Upper_Outer","Max_Temp_Upper_Outer","Post_Temp_Upper_Outer","Pre_Temp_Down_Inner","Max_Temp_Down_Inner","Post_Temp_Down_Inner","Pre_Temp_Upper_Inner","Max_Temp_Upper_Inner","Post_Temp_Upper_Inner"
"TS","RN","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-05-03 10:20:00",0,18.935,0.498,19.392,18.853,0.222,19.04,17.685,0.544,18.157,17.717,0.166,17.86
"2022-05-03 10:40:00",1,18.705,0.504,19.168,18.644,0.237,18.855,17.693,0.551,18.169,17.729,0.159,17.863
"2022-05-03 11:00:00",2,18.477,0.456,18.88,18.414,0.198,18.563,17.726,0.531,18.18,17.733,0.152,17.855
"2022-05-03 11:20:00",3,18.35,0.503,18.818,18.4,0.232,18.598,17.738,0.54,18.208,17.785,0.167,17.929
"2022-05-03 11:40:00",4,18.126,0.512,18.605,18.209,0.244,18.42,17.723,0.537,18.193,17.778,0.172,17.929
"2022-05-03 12:00:00",5,18.243,0.523,18.736,18.313,0.255,18.551,17.8,0.547,18.278,17.856,0.169,18.005
"2022-05-03 12:20:00",6,18.215,0.529,18.713,18.286,0.245,18.503,17.841,0.548,18.32,17.891,0.175,18.048
"2022-05-03 12:40:00",7,18.328,0.514,18.808,18.396,0.23,18.593,17.944,0.546,18.422,17.998,0.17,18.146
"2022-05-03 13:00:00",8,18.354,0.486,18.804,18.387,0.23,18.583,18.036,0.529,18.495,18.067,0.161,18.202
"2022-05-03 13:20:00",9,18.342,0.518,18.829,18.411,0.253,18.64,18.06,0.54,18.531,18.097,0.169,18.245
"2022-05-03 13:40:00",10,18.341,0.486,18.792,18.402,0.203,18.559,18.089,0.528,18.552,18.118,0.169,18.261
"2022-05-03 14:00:00",11,18.435,0.501,18.904,18.451,0.25,18.682,18.157,0.535,18.622,18.177,0.162,18.315
"2022-05-03 14:20:00",12,18.326,0.49,18.783,18.345,0.243,18.563,18.157,0.524,18.615,18.166,0.169,18.313
"2022-05-03 14:40:00",13,18.246,0.497,18.715,18.303,0.261,18.547,18.15,0.52,18.604,18.155,0.171,18.306
"2022-05-03 15:00:00",14,18.321,0.49,18.783,18.346,0.243,18.566,18.174,0.514,18.626,18.172,0.172,18.322
"2022-05-03 15:20:00",15,18.256,0.48,18.709,18.324,0.247,18.543,18.171,0.511,18.621,18.176,0.176,18.331
"2022-05-03 15:40:00",16,18.082,0.464,18.523,18.164,0.256,18.399,18.114,0.486,18.547,18.119,0.185,18.283
"2022-05-03 16:00:00",17,17.826,0.462,18.267,17.935,0.254,18.164,17.967,0.473,18.392,17.972,0.19,18.141
"2022-05-03 16:20:00",18,17.715,0.479,18.178,17.807,0.276,18.07,17.875,0.479,18.306,17.874,0.191,18.046
"2022-05-03 16:40:00",19,17.689,0.46,18.128,17.785,0.252,18.014,17.848,0.478,18.277,17.844,0.188,18.012
"2022-05-03 17:00:00",20,17.652,0.456,18.087,17.73,0.259,17.967,17.813,0.469,18.235,17.8,0.19,17.97
"2022-05-03 17:20:00",21,17.526,0.435,17.943,17.594,0.249,17.82,17.731,0.459,18.144,17.717,0.193,17.889
"2022-05-03 17:40:00",22,17.457,0.437,17.876,17.562,0.256,17.798,17.686,0.449,18.091,17.673,0.199,17.853
"2022-05-03 18:00:00",23,17.267,0.422,17.671,17.432,0.265,17.678,17.577,0.442,17.975,17.572,0.207,17.762
"2022-05-03 18:20:00",24,17.044,0.406,17.429,17.206,0.259,17.44,17.443,0.43,17.829,17.428,0.205,17.614
