"TOA5,""31406"",""CR1000X"",""31406"",""CR1000X.Std.05.01"",""CPU:sap_flow.CR1X"",""24332"",""Sap_Flow_Data"""
"TIMESTAMP,""RECORD"",""SapFlowTotal"",""SFD_Outer"",""SFD_Inner"",""Alpha_Outer"",""Alpha_Inner"",""Beta_Outer"",""Beta_Inner"",""Tmax_Outer"",""Tmax_Inner"""
"TS,""RN"",""L/hr"",""cm3//cm2hr"",""cm3/cm2/hr"","""","""","""","""",""secs"",""secs"""
","""",""Smp"",""Smp"",""Smp"",""Smp"",""Smp"",""Smp"",""Smp"",""Smp"",""Smp"""
"2022-05-03 10:20:00,0,1.199,16.83,41.17,0.89359,1.19413,0.80792,1.18695,49.403,43.259"
"2022-05-03 10:40:00,1,1.139,14.8,40.69,0.78584,1.26756,0.7545,1.24285,48.629,43.414"
"2022-05-03 11:00:00,2,1.271,18.73,42.46,0.99495,1.31403,0.83419,1.25087,47.066,42.829"
"2022-05-03 11:20:00,3,1.197,16.2,41.89,0.86017,1.18289,0.77385,1.17357,49.731,43.016"
"2022-05-03 11:40:00,4,1.14,15.43,39.89,0.81985,1.13543,0.74112,1.13847,51.223,43.682"
"2022-05-03 12:00:00,5,1.09,13.71,39.52,0.72821,1.16563,0.71833,1.17454,51.598,43.797"
"2022-05-03 12:20:00,6,1.151,15.65,40.17,0.83067,1.11545,0.76971,1.14147,50.567,43.592"
"2022-05-03 12:40:00,7,1.162,16.76,39.27,0.89059,1.17239,0.80413,1.16679,51.44,43.898"
"2022-05-03 13:00:00,8,1.144,15.65,39.81,0.83111,1.22377,0.74811,1.18959,49.759,43.712"
"2022-05-03 13:20:00,9,1.096,14.21,39.19,0.75453,1.15763,0.71655,1.16166,51.041,43.909"
"2022-05-03 13:40:00,10,1.195,19.86,36.93,1.05519,1.17487,0.87299,1.1392,51.236,44.675"
"2022-05-03 14:00:00,11,1.074,13.33,39.21,0.70815,1.21481,0.69514,1.19468,50.868,43.893"
"2022-05-03 14:20:00,12,1.109,13.93,40.24,0.74017,1.13641,0.70134,1.13159,50.864,43.582"
"2022-05-03 14:40:00,13,1.088,12.3,41.32,0.6534,1.10079,0.64406,1.11217,50.763,43.221"
"2022-05-03 15:00:00,14,1.061,13.96,37.69,0.74193,1.10305,0.70134,1.09472,50.967,44.408"
"2022-05-03 15:20:00,15,1.08,13.68,39.06,0.72681,1.06581,0.66438,1.06588,51.903,43.949"
"2022-05-03 15:40:00,16,0.642,11.85,18.28,0.62944,0.97083,0.59468,0.96585,52.06,44.519"
"2022-05-03 16:00:00,17,0.637,12.33,17.36,0.65528,0.92221,0.59823,0.91209,53.691,44.654"
"2022-05-03 16:20:00,18,0.594,10.65,17.3,0.56558,0.9186,0.55135,0.91939,54.373,45.437"
"2022-05-03 16:40:00,19,0.64,12.25,17.65,0.65078,0.93747,0.60178,0.93317,52.669,44.301"
"2022-05-03 17:00:00,20,0.61,11.43,17.11,0.60724,0.90921,0.56567,0.90357,53.653,45.44"
"2022-05-03 17:20:00,21,0.601,11.53,16.5,0.61254,0.87595,0.55791,0.86637,53.01,45.465"
"2022-05-03 17:40:00,22,0.559,10.81,15.26,0.57406,0.81091,0.53476,0.81369,53.553,45.185"
