"TOA5","31407","CR1000X","31407","CR1000X.Std.05.01","CPU:sap_flow.CR1X","24332","Diagnostic_Data"
"TIMESTAMP","RECORD","Batt_volt","PTemp","Tmax_Outer","Tmax_Inner","uTmax_Outer","uTmax_Inner","AvgVolts","AvgCurrent","MinVolts","MaxVolts","Diagnostic"
"TS","RN","","","secs","secs","sec","sec","Volts","amps","Volts","Volts",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-05-03 10:00:00",0,12.69,18.75,53.337,55.976,60.481,56.287,11.35,0.283,12.06,11.34,0
"2022-05-03 10:20:00",1,12.68,19.48,52.179,55.804,54.768,54.613,11.36,0.283,12.07,11.35,0
"2022-05-03 10:40:00",2,12.67,20.43,51.213,54.838,52.714,53.647,11.36,0.283,12.06,11.35,0
"2022-05-03 11:00:00",3,12.67,22.24,50.232,55.93,52.977,52.666,11.36,0.283,12.06,11.35,0
"2022-05-03 11:20:00",4,12.66,22.58,53.031,54.741,51.476,52.979,11.36,0.283,12.06,11.35,0
"2022-05-03 11:40:00",5,12.67,25.31,52.683,55.324,53.461,52.062,11.36,0.283,12.07,11.35,0
"2022-05-03 12:00:00",6,12.67,28.37,53.142,55.94,52.832,52.365,11.37,0.283,12.07,11.35,0
"2022-05-03 12:20:00",7,12.67,25.17,52.924,54.219,55.927,52.872,11.37,0.283,12.07,11.36,0
"2022-05-03 12:40:00",8,12.67,22.94,52.266,54.493,54.441,53.975,11.37,0.283,12.06,11.36,0
"2022-05-03 13:00:00",9,12.67,24.52,51.435,54.648,52.368,53.145,11.37,0.283,12.06,11.36,0
"2022-05-03 13:20:00",10,12.67,22.85,52.717,55.359,53.495,51.527,11.37,0.283,12.06,11.36,0
"2022-05-03 13:40:00",11,12.67,22.09,49.776,54.387,51.279,52.884,11.36,0.283,12.06,11.36,0
"2022-05-03 14:00:00",12,12.66,22.44,52.877,55.259,55.467,54.173,11.36,0.283,12.06,11.35,0
"2022-05-03 14:20:00",13,12.66,23.49,52.347,54.47,53.695,51.881,11.36,0.283,12.06,11.36,0
"2022-05-03 14:40:00",14,12.66,24.3,50.989,54.614,53.579,53.838,11.37,0.283,12.07,11.36,0
"2022-05-03 15:00:00",15,12.66,24.53,51.32,55.776,55.154,54.843,11.37,0.283,12.07,11.36,0
"2022-05-03 15:20:00",16,12.67,36.18,52.583,55.795,57.506,52.376,11.38,0.284,12.09,11.37,0
"2022-05-03 15:40:00",17,12.67,36.93,49.941,53.725,49.216,49.734,11.39,0.284,12.09,11.38,0
