"TOA5","31407","CR1000X","31407","CR1000X.Std.05.01","CPU:sap_flow.CR1X","24332","Sap_Flow_Data"
"TIMESTAMP","RECORD","SapFlowTotal","SFD_Outer","SFD_Inner","Alpha_Outer","Alpha_Inner","Beta_Outer","Beta_Inner","Tmax_Outer","Tmax_Inner"
"TS","RN","L/hr","cm3//cm2hr","cm3/cm2/hr","","","","","secs","secs"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-05-03 10:00:00",0,0.549,12.01,13.1,0.6379,0.69581,0.66268,0.69315,53.337,55.976
"2022-05-03 10:20:00",1,0.627,14.2,14.35,0.75438,0.76173,0.76651,0.75407,52.179,55.804
"2022-05-03 10:40:00",2,0.651,14.8,14.83,0.78599,0.78737,0.79929,0.78127,51.213,54.838
"2022-05-03 11:00:00",3,0.68,15.38,15.58,0.81701,0.82777,0.84047,0.81217,50.232,55.93
"2022-05-03 11:20:00",4,0.633,14.55,14.16,0.77275,0.75203,0.77195,0.73901,53.031,54.741
"2022-05-03 11:40:00",5,0.659,14.98,15.01,0.79577,0.79702,0.79877,0.78484,52.683,55.324
"2022-05-03 12:00:00",6,0.641,14.56,14.6,0.77399,0.77497,0.78037,0.76366,53.142,55.94
"2022-05-03 12:20:00",7,0.612,13.43,14.56,0.71314,0.77361,0.73647,0.76799,52.924,54.219
"2022-05-03 12:40:00",8,0.634,14.11,14.8,0.74941,0.78629,0.76175,0.77707,52.266,54.493
"2022-05-03 13:00:00",9,0.679,15.26,15.66,0.81091,0.83238,0.82799,0.81795,51.435,54.648
"2022-05-03 13:20:00",10,0.673,15.11,15.55,0.80307,0.82553,0.81324,0.80647,52.717,55.359
"2022-05-03 13:40:00",11,0.684,15.53,15.56,0.82521,0.82706,0.83773,0.82121,49.776,54.387
"2022-05-03 14:00:00",12,0.635,13.98,15.03,0.74237,0.79847,0.75981,0.78946,52.877,55.259
"2022-05-03 14:20:00",13,0.669,15.26,15.15,0.8103,0.80483,0.81033,0.78897,52.347,54.47
"2022-05-03 14:40:00",14,0.638,13.91,15.31,0.73871,0.81357,0.77079,0.80078,50.989,54.614
"2022-05-03 15:00:00",15,0.607,13.38,14.35,0.71085,0.76173,0.73668,0.75957,51.32,55.776
"2022-05-03 15:20:00",16,0.606,13.28,14.43,0.70561,0.7664,0.72687,0.7554,52.583,55.795
"2022-05-03 15:40:00",17,0.68,15.48,15.45,0.82195,0.82069,0.81979,0.79702,49.941,53.725
"2022-05-03 16:00:00",18,0.536,11.75,12.78,0.62414,0.67848,0.6273,0.66513,52.789,53.773
"2022-05-03 16:20:00",19,0.602,13.81,13.5,0.73398,0.71653,0.72659,0.69872,52.675,54.074
"2022-05-03 16:40:00",20,0.585,13.33,13.26,0.70839,0.70471,0.70053,0.69315,53.764,53.919
"2022-05-03 17:00:00",21,0.633,14.78,13.9,0.78517,0.73841,0.76545,0.71019,51.446,53.571
"2022-05-03 17:20:00",22,0.592,13.46,13.45,0.71547,0.71463,0.69841,0.68448,52.659,53.8
"2022-05-03 17:40:00",23,0.591,13.36,13.51,0.70976,0.71754,0.69577,0.69315,51.913,53.468
