"TOA5","31221","CR1000X","31221","CR1000X.Std.05.01","CPU:sap_flow.CR1X","24332","Stem_Water_Data"
"TIMESTAMP","RECORD","SWC_Outer","SWC_Inner","Heat_Capacity_Outer","Heat_Capacity_Inner","Pulse_Energy","Pulse_Duration"
"TS","RN","%","%","kJ/m^3","kJ/m^3","J/m","sec"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-05-03 11:40:00",0,32.49,25.77,2199,1918,317.716,3.001
"2022-05-03 12:00:00",1,32.9,25.01,2216,1886,319.317,3.001
"2022-05-03 12:20:00",2,31.8,25.2,2170,1894,320.574,3.003
"2022-05-03 12:40:00",3,32.75,25.34,2210,1900,320.93,3.003
"2022-05-03 13:00:00",4,31.6,25.25,2162,1896,320.907,3.002
"2022-05-03 13:20:00",5,31.34,25.03,2151,1887,320.119,3.002
"2022-05-03 13:40:00",6,32.35,25.2,2193,1894,319.919,3.001
"2022-05-03 14:00:00",7,31.99,25.44,2178,1904,321.665,3.001
"2022-05-03 14:20:00",8,31.63,25.2,2163,1894,322.676,3.005
"2022-05-03 14:40:00",9,31.77,24.91,2169,1882,321.994,3.002
"2022-05-03 15:00:00",10,31.63,25.2,2163,1894,322.653,3.001
"2022-05-03 15:20:00",11,32.32,25.03,2192,1887,322.189,3.002
"2022-05-03 15:40:00",12,32.39,25.2,2195,1894,321.902,3.002
"2022-05-03 16:00:00",13,31.63,25.27,2163,1897,321.828,3.002
"2022-05-03 16:20:00",14,32.13,25.27,2184,1897,321.726,3.003
"2022-05-03 16:40:00",15,32.46,25.32,2198,1899,321.444,3.001
"2022-05-03 17:00:00",16,31.91,25.2,2175,1894,322.022,3.003
"2022-05-03 17:20:00",17,33.01,25.25,2221,1896,321.645,3.001
"2022-05-03 17:40:00",18,32.75,25.15,2210,1892,322.385,3.005
"2022-05-03 18:00:00",19,32.61,25.15,2204,1892,321.593,3.002
"2022-05-03 18:20:00",20,32.8,25.08,2212,1889,321.157,3.002
"2022-05-03 18:40:00",21,33.09,24.98,2224,1885,320.524,3.001
"2022-05-03 19:00:00",22,32.78,24.86,2211,1880,320.194,3.004
"2022-05-03 19:20:00",23,32.51,24.86,2200,1880,320.223,3.005
"2022-05-03 19:40:00",24,32.9,25.1,2216,1890,319.298,3.002
"2022-05-03 20:00:00",25,32.92,25.2,2217,1894,318.63,3.001
"2022-05-03 20:20:00",26,33.04,25.39,2222,1902,318.568,3.001
"2022-05-03 20:40:00",27,32.7,25.63,2208,1912,318.229,3.005
"2022-05-03 21:00:00",28,32.3,25.6,2191,1911,317.326,3.002
"2022-05-03 21:20:00",29,32.44,25.51,2197,1907,316.605,3.001
"2022-05-03 21:40:00",30,32.82,25.6,2213,1911,316.598,3.005
"2022-05-03 22:00:00",31,32.94,25.48,2218,1906,316.404,3.006
"2022-05-03 22:20:00",32,32.56,25.58,2202,1910,315.742,3.002
"2022-05-03 22:40:00",33,32.15,25.56,2185,1909,315.595,3.001
"2022-05-03 23:00:00",34,32.35,25.6,2193,1911,315.279,3.001
"2022-05-03 23:20:00",35,32.03,25.58,2180,1910,315.777,3.006
"2022-05-03 23:40:00",36,32.42,25.56,2196,1909,315.65,3.006
"2022-05-04 00:00:00",37,32.27,25.44,2190,1904,314.839,3.002
"2022-05-04 00:20:00",38,32.42,25.56,2196,1909,314.958,3.006
"2022-05-04 00:40:00",39,33.04,25.7,2222,1915,313.864,3.002
"2022-05-04 01:00:00",40,32.37,25.79,2194,1919,313.079,3.001
"2022-05-04 01:20:00",41,31.75,25.94,2168,1925,314.014,3.005
"2022-05-04 01:40:00",42,31.82,25.77,2171,1918,313.603,3.003
"2022-05-04 02:00:00",43,31.58,25.79,2161,1919,313.757,3.005
"2022-05-04 02:20:00",44,31.56,25.84,2160,1921,312.767,3.002
"2022-05-04 02:40:00",45,31.41,25.63,2154,1912,312.731,3.002
"2022-05-04 03:00:00",46,31.48,25.6,2157,1911,313.224,3.001
"2022-05-04 03:20:00",47,31.53,25.34,2159,1900,312.65,3.002
"2022-05-04 03:40:00",48,31.39,25.22,2153,1895,312.519,3.001
"2022-05-04 04:00:00",49,31.39,25.25,2153,1896,313.426,3.005
"2022-05-04 04:20:00",50,31.13,25.1,2142,1890,312.48,3.002
"2022-05-04 04:40:00",51,31.44,24.96,2155,1884,312.916,3.002
"2022-05-04 05:00:00",52,31.1,25.1,2141,1890,312.455,3.001
"2022-05-04 05:20:00",53,31.44,25.05,2155,1888,312.856,3.001
